Investor,Avg_Investment,Total_Investment,Num_Deals,Unique_Startups,Avg_Year,Cluster
Tiger Global Management,344.8761904761905,7242.400000000001,21,20,2016.4761904761904,1
Susquehanna Growth Equity,248.94,497.88,2,2,2018.5,0
Sequoia Capital India,396.705,7140.6900000000005,18,17,2017.3333333333333,1
Vinod Khatumal,25.73,25.73,1,1,2020.0,0
Sprout Venture Partners,7.72,15.44,2,2,2019.0,0
Chiratae Ventures,53.15,159.45,3,3,2019.0,0
Ant Financial,2944.77,8834.31,3,2,2017.6666666666667,3
Sathguru Catalyzer Advisors,51.46,51.46,1,1,2019.0,0
Ping An Global Voyager Fund,600.39,600.39,1,1,2019.0,0
Mumbai Angels,21.64115384615385,562.6700000000001,26,24,2016.2692307692307,1
Ravikanth Reddy,428.85,428.85,1,1,2019.0,0
Spring Canter Investment Ltd.,171.54,171.54,1,1,2019.0,0
Paytm,67.63538461538461,879.26,13,11,2015.923076923077,1
NPTK,102.92,102.92,1,1,2019.0,0
Sabre Partners and Neoplux,102.92,102.92,1,1,2019.0,0
Vertex Growth Fund,257.31,257.31,1,1,2019.0,0
Ruizheng Investment,17.15,17.15,1,1,2019.0,0
Manipal Education and Medical Group (MEMG),233.725,467.4500000000001,2,2,2018.0,0
SoftBank Vision Fund,1802.886,9014.43,5,5,2018.2,1
Accel,156.3112380952381,16412.68,105,78,2016.219047619048,2
Sauce.vc,4.17,4.17,1,1,2019.0,0
Rainforest Ventures,4.17,4.17,1,1,2019.0,0
PS1 Venture and GlobalLogic co-founder Rajul Garg,12.87,12.87,1,1,2019.0,0
DG Daiwa Ventures,102.92,102.92,1,1,2019.0,0
DG Incubation,102.92,102.92,1,1,2019.0,0
Trifecta Capital Advisors,125.225,250.45,2,2,2018.0,0
FinTech,76.19,152.38,2,2,2018.5,0
Dream Incubator,44.51333333333333,133.54,3,3,2018.0,0
Altimeter Capital,1912.67,7650.68,4,4,2017.75,1
Sutter Hill Ventures,1157.9,1157.9,1,1,2019.0,0
Startup Buddy,1.57,4.71,3,3,2018.0,0
Amour Infrastructure,1886.94,1886.94,1,1,2019.0,0
Ackermans & van Haaren,135.52,135.52,1,1,2019.0,0
HealthQuad,76.765,153.53,2,2,2018.5,0
Rebright Partners,27.48333333333333,164.9,6,6,2016.1666666666667,4
Toppan Printing,135.52,135.52,1,1,2019.0,0
Kalaari Capital,129.33793103448275,7501.599999999999,58,46,2016.2758620689656,1
Vijay Shekhar Sharma,663.5969230769232,8626.760000000002,13,13,2016.076923076923,1
Lightbox,137.51666666666668,1237.65,9,7,2016.3333333333333,1
DST Global,2945.34,14726.7,5,4,2016.6,3
Ayushmann Khurana,0.0,0.0,1,1,2019.0,0
Matrix Partners India,50.17399999999999,501.74,10,9,2016.6,1
Sequoia India,196.8431818181818,4330.549999999999,22,20,2016.7727272727277,1
TIW Private Equity,51.46,51.46,1,1,2019.0,0
Breakthrough Energy Ventures,154.39,154.39,1,1,2019.0,0
Endiya Partners,45.12307692307694,586.6000000000001,13,8,2017.2307692307693,1
Bennett Coleman and Company Ltd (BCCL),3859.65,3859.65,1,1,2019.0,3
India Quotient,26.60391304347825,611.8899999999999,23,19,2016.136363636364,1
SC GG India Mobility Holdings LLC,171.54,171.54,1,1,2019.0,0
Azim Premji,1200.78,1200.78,1,1,2019.0,0
Binny Bansal,113.30785714285716,1586.31,14,13,2016.7857142857144,1
Pine Labs Pte Ltd,326.61,326.61,1,1,2019.0,0
Naspers,846.2633333333333,2538.79,3,3,2018.0,0
MS Dhoni,94.35,94.35,1,1,2019.0,0
March Capital Partners,382.02,764.04,2,1,2019.0,0
XL Innovate,317.35,317.35,1,1,2019.0,0
Rashmi Daga (founder,4.29,4.29,1,1,2019.0,0
FreshMenu),4.29,4.29,1,1,2019.0,0
Raveen Sastry (co-founder,4.29,4.29,1,1,2019.0,0
Myntra) and Mitesh Shah (finance chief,4.29,4.29,1,1,2019.0,0
BookMyShow),4.29,4.29,1,1,2019.0,0
One97 Communications Ltd.,56.52,56.52,1,1,2019.0,0
Growth DNA,8.58,8.58,1,1,2019.0,0
Vir Sanghvi,0.0,0.0,1,1,2019.0,0
Westbridge Capital,8593.295000000002,34373.18000000001,4,4,2017.25,3
IIFL Wealth,150.095,300.19,2,2,2017.5,0
WaterBridge Ventures,17.33857142857143,121.37,7,5,2017.2857142857144,0
Kapil Dev,1.24,1.24,1,1,2019.0,0
DIG Investment Ab,8.58,8.58,1,1,2019.0,0
Deshe Holdings,8.58,8.58,1,1,2019.0,0
Samih Toukan and Hussam Khoury,8.58,8.58,1,1,2019.0,0
Qatar Investment Authority,1286.55,1286.55,1,1,2019.0,0
Composite Capital Management,514.62,514.62,1,1,2019.0,0
Undisclosed,23.627659574468083,3331.4999999999995,141,137,2016.1347517730496,2
Multiple Angel Investors,2.74,2.74,1,1,2019.0,0
General Atlantic,437.43,437.43,1,1,2019.0,0
Anicut Capital,41.88333333333333,125.65,3,3,2017.6666666666667,0
Triton Investment Advisors,111.5,223.0,2,2,2018.0,0
Pidilite Industries director Ajay Parekh,223.0,223.0,1,1,2019.0,0
IAN Fund,70.76,283.04,4,4,2017.75,0
Tata Sons,0.0,0.0,1,1,2019.0,0
Indian Angel Network and other angel investors,0.0,0.0,1,1,2019.0,0
Innov8 founder Ritesh Malik,0.0,0.0,1,1,2019.0,0
Josh Talks founders Supriya Paul and Shobha Banga,0.0,0.0,1,1,2019.0,0
and former Hero Corporate president Rohit Chanana,0.0,0.0,1,1,2019.0,0
Wellington,973.49,1946.98,2,2,2018.0,0
LightStreet,1286.55,1286.55,1,1,2019.0,0
Sands Capital and International Finance Corporation,1286.55,1286.55,1,1,2019.0,0
Equanimity Ventures,1200.78,1200.78,1,1,2019.0,0
Korea Investment Partners,49.32,98.64,2,2,2018.5,0
Sixth Sense Ventures,17.725,106.35,6,6,2016.8333333333333,0
Eight Roads,145.94076923076923,1897.23,13,12,2016.923076923077,1
Prasid Uno Family Trust,145.81,145.81,1,1,2019.0,0
Unilever,22.365,89.46,4,3,2018.0,0
ABCOM Investments,3.69,3.69,1,1,2019.0,0
Parekh Marine Transport,3.69,3.69,1,1,2019.0,0
Orchid India,30.8,30.8,1,1,2019.0,0
Lasmer NV,30.8,30.8,1,1,2019.0,0
Milestone,54.21,54.21,1,1,2019.0,0
Supera Pte Ltd,20.96,20.96,1,1,2019.0,0
Kalyan Krishnamurthy,2.63,2.63,1,1,2019.0,0
New Atlantic Ventures,42.88,42.88,1,1,2019.0,0
021 Capita,25.73,25.73,1,1,2019.0,0
EDBI,1187.915,2375.83,2,2,2017.5,0
and Sofina,1938.4,1938.4,1,1,2019.0,0
PitchRight Venture,5.15,5.15,1,1,2019.0,0
91SpringBoard,8.863333333333335,26.590000000000003,3,3,2017.0,0
DiDi Chuxing,857.7,857.7,1,1,2018.0,0
Hillhouse Capital,600.39,1200.78,2,2,2017.0,0
Alphabets growth investment arm Capital G and Axis Bank,943.47,943.47,1,1,2019.0,0
Iron Pillar,137.23,274.46,2,2,2018.0,0
Perceptive Advisors,188.69,188.69,1,1,2019.0,0
MASSIF,42.88,42.88,1,1,2019.0,0
a Dutch government fund,42.88,42.88,1,1,2019.0,0
Steadview Capital and Vy Capital.,428.85,428.85,1,1,2018.0,0
Individual Investors,57.77142857142858,404.4,7,7,2017.571428571429,0
Omphalos Ventures India LLP,1.23,1.23,1,1,2018.0,0
Info Edge,143.34187500000002,2293.4700000000003,16,11,2016.4375,1
Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,17.15,17.15,1,1,2018.0,0
Venture Highway,51.57,412.56,8,7,2017.125,0
Space Matrix,30.02,30.02,1,1,2018.0,0
Lead Angels Network,1.24,2.48,2,2,2017.0,0
CDC Group,159.315,637.26,4,4,2017.75,0
the UKs Development Finance Institution and P Surendra Pai,238.43,238.43,1,1,2018.0,0
Shunwei Capital,96.68111111111112,870.1300000000001,9,9,2017.5,1
DST Partners and RPS Ventures,428.85,428.85,1,1,2018.0,0
Singapore,9.843809523809522,206.72,21,21,2016.142857142857,1
Mayfield Fund,11.15,11.15,1,1,2018.0,0
Stevens Creek Ventures,8.58,8.58,1,1,2018.0,0
Venture Catalysts,3.287142857142857,46.02,14,14,2016.9285714285716,1
Sistema Asia Fund,127.70222222222225,1149.3200000000002,9,7,2017.3333333333333,0
VC Samsung NEXT,51.46,51.46,1,1,2018.0,0
Inventus Capital,68.744,687.4399999999999,10,8,2016.2,1
Teachers Insurance and Annuity Association (TIAA),265.89,265.89,1,1,2018.0,0
Rajan Anandan from Google,29.16,29.16,1,1,2018.0,0
Dilip Khandwelwal from SAP Labs India,29.16,29.16,1,1,2018.0,0
and Amrish Rau from PayU India,29.16,29.16,1,1,2018.0,0
Lakestar and Jungle Ventures,253.02,253.02,1,1,2018.0,0
Softbanks DeepCore.,253.02,253.02,1,1,2018.0,0
Prashant Jaiswal,0.0,0.0,1,1,2018.0,0
Cooperative Oikocredit,94.35,94.35,1,1,2018.0,0
Caspian and Hivos-Triodos Fund,94.35,94.35,1,1,2018.0,0
Ravi Viswanathan,70.33,70.33,1,1,2018.0,0
ZigExN,25.73,25.73,1,1,2018.0,0
Credence Family Office,34.31,34.31,1,1,2018.0,0
Fosun International,180.115,360.23,2,2,2017.5,0
Sistema JSFC and Tanncam Investment,300.2,300.2,1,1,2018.0,0
Samsung and China-based CITIC Capital and others,0.0,0.0,1,1,2018.0,0
KDDI,0.0,0.0,1,1,2018.0,0
Tencent,2438.3214285714284,17068.25,7,7,2017.142857142857,3
Stellaris Ventures & Others,34.31,34.31,1,1,2018.0,0
rstead,274.46,274.46,1,1,2018.0,0
and Tenaska,274.46,274.46,1,1,2018.0,0
InnoVen Capital,49.41538461538463,642.4000000000001,13,13,2016.4615384615383,1
Fosun RZ Capital,257.31,257.31,1,1,2018.0,0
Farm To Fork,3.43,3.43,1,1,2018.0,0
Arts Alliance,3.43,3.43,1,1,2018.0,0
The Syndicate Fund,3.43,3.43,1,1,2018.0,0
Sven Hensen,3.43,3.43,1,1,2018.0,0
Axilor,17.037272727272725,374.82,22,20,2016.909090909091,1
Y Combinator,48.359,483.59,10,10,2017.7,1
Fung Strategic Holdings,300.2,300.2,1,1,2018.0,0
MakeMyTrip Limited,85.77,85.77,1,1,2018.0,0
Flipkart,146.8678571428571,2056.15,14,10,2015.857142857143,1
AJ Ventures and Jain International Trade Organisation (JITO),8.58,8.58,1,1,2018.0,0
MGV,68.62,68.62,1,1,2018.0,0
Liquid 2 Ventures,68.62,68.62,1,1,2018.0,0
Hack VC,68.62,68.62,1,1,2018.0,0
Denlow Investment Trust and Beenext,50.18,50.18,1,1,2018.0,0
Hyundai,122.39,122.39,1,1,2018.0,0
Edelweiss and Beenext,122.39,122.39,1,1,2018.0,0
Sunjay Kapoor and Telama Investment,122.39,122.39,1,1,2018.0,0
Xiaomi,122.822,614.11,5,5,2017.4,0
Ribbit Capital and Omidyar Network,114.93,114.93,1,1,2018.0,0
and Pravega Ventures,36.02,36.02,1,1,2018.0,0
Ajay Relan and Vinay Mittal,8.58,8.58,1,1,2018.0,0
MDI Ventures & Telkom Indonesia,34.31,34.31,1,1,2018.0,0
Ashish Goenka,26.805,53.61,2,2,2015.0,4
Avtar Monga,4.02,8.04,2,2,2016.5,4
chief operating office at IDFC Bank,3.75,3.75,1,1,2018.0,0
Aditya Malik & Others,3.75,3.75,1,1,2018.0,0
ResponsAbility,81.48,244.44,3,3,2017.0,0
Raghunandan G,16.723750000000003,133.79000000000002,8,8,2016.5,4
and Ramakant Sharma,42.88,42.88,1,1,2018.0,0
Base of Pyramid Asia (BOPA) Pte Ltd,21.44,21.44,1,1,2018.0,0
Rishi Vasudev,3.13,6.26,2,2,2016.5,4
Ritesh Vohra,1.54,1.54,1,1,2018.0,0
Praveer Kumar,1.54,1.54,1,1,2018.0,0
Prashant Gupta and Others,1.54,1.54,1,1,2018.0,0
Siddharth Agarwal,0.75,1.5,2,2,2017.0,0
Amit Singal,1.5,1.5,1,1,2018.0,0
100 Co-founders Lab and others.,1.5,1.5,1,1,2018.0,0
KCK Global & Others,426.28,426.28,1,1,2018.0,0
Omidyar Network & Others,12.87,12.87,1,1,2018.0,0
TPG Growth,686.1600000000001,1372.3200000000002,2,2,2017.0,0
The Rise Fund & Others,857.7,857.7,1,1,2018.0,0
Rahul Khanna,1.26,3.78,3,3,2016.0,4
Rajeev Arora and Ram Ramsundar.,2.4,2.4,1,1,2018.0,0
Metaform Ventures,3.74,3.74,1,1,2018.0,0
Hemant Luthra,3.74,3.74,1,1,2018.0,0
Micro venture capital firm GEMS Partners and Others,3.74,3.74,1,1,2018.0,0
Gray Matters,16.4675,65.87,4,4,2016.5,4
Fairfax,192.98,385.96,2,1,2017.5,0
Allcargo Logistics,145.81,145.81,1,1,2018.0,0
Navneet Education and Mahavir Agency,145.81,145.81,1,1,2018.0,0
WEH Ventures and Sprout Ventures,10.72,10.72,1,1,2018.0,0
Ventureast and Exfinity,21.44,21.44,1,1,2018.0,0
Bharat Innovation,9.43,9.43,1,1,2018.0,0
IDFC-Parampara Capital,9.43,9.43,1,1,2018.0,0
Arthavida Ventures,9.43,9.43,1,1,2018.0,0
Jitendra Gupta & Others,5.145,10.29,2,2,2016.5,4
Lindwall Family Investments LLC (LFI),4.29,4.29,1,1,2018.0,0
Amazon Alexa Fund & Dentsu Ventures,94.35,94.35,1,1,2018.0,0
Kantilal Patel,42.88,42.88,1,1,2018.0,0
Puneet Dalmia & Others,85.77,85.77,1,1,2018.0,0
Aspire Logistics LLC,1.07,1.07,1,1,2018.0,0
Bhairavi Jani,0.0,0.0,1,1,2018.0,0
Alok Divatia,0.0,0.0,1,1,2018.0,0
Namrata Kaul,0.0,0.0,1,1,2018.0,0
Sohail Hashemi,0.0,0.0,1,1,2018.0,0
Aijaz Saleem,0.0,0.0,1,1,2018.0,0
Anil Advani,0.0,0.0,1,1,2018.0,0
Pramod Jain,0.0,0.0,1,1,2018.0,0
Amrendra Reddy and Manish Satnaliwala.,0.0,0.0,1,1,2018.0,0
Oman India Joint Investment Fund (OIJIF),197.27,197.27,1,1,2018.0,0
SAIF Partners and LGT Impact Ventures,184.41,184.41,1,1,2018.0,0
Subho Ray and Samir Kumar,2.57,2.57,1,1,2018.0,0
Basab Pradhan,3.86,3.86,1,1,2018.0,0
Vivek Khare and Bijoy George,3.86,3.86,1,1,2018.0,0
Rannvijay Singha,0.0,0.0,1,1,2018.0,0
Hyperplane Venture Capital and several angel investors,14.58,14.58,1,1,2018.0,0
Menterra Venture & Artha Initiatives,0.0,0.0,1,1,2018.0,0
Speciale Invest & Others,9.43,9.43,1,1,2018.0,0
Shiva Gunapu & Others,0.0,0.0,1,1,2018.0,0
Unknown High Net-Worth Individuals,3.86,3.86,1,1,2018.0,0
Kae Capital & Others,21.44,21.44,1,1,2018.0,0
Behram Vakil and Jerxis Vandrevala,8.58,8.58,1,1,2018.0,0
Sunil Munjal,103.7825,415.13,4,2,2017.25,0
Harsh Mariwala,127.22666666666667,381.68,3,1,2017.0,0
Dalip Pathak and Others,150.1,300.2,2,1,2018.0,0
Credika and unnamed angel investors,4.29,4.29,1,1,2018.0,0
RS Shanbag,6.3,6.3,1,1,2018.0,0
Insistor,17.15,17.15,1,1,2018.0,0
Ashish Kacholi,17.15,17.15,1,1,2018.0,0
Atul Gupta and Saurabh Rastogi,2.51,2.51,1,1,2018.0,0
Ashish Dhawan,77.19,154.38,2,2,2017.0,0
Catamaran Ventures,81.1575,324.63,4,3,2016.25,4
NR Narayana Murthy.,102.92,102.92,1,1,2018.0,0
Mitali Pawar,1.72,1.72,1,1,2018.0,0
Nikhil G and Bhavesh P,1.72,1.72,1,1,2018.0,0
R Ranganathan,1.72,1.72,1,1,2018.0,0
ONCOTRUST and Medintel Services Pvt. Ltd,1.72,1.72,1,1,2018.0,0
Amazon Inc. and Mastercard,68.62,68.62,1,1,2018.0,0
Treebo,0.0,0.0,1,1,2018.0,0
IndusAge Partners,102.925,205.85,2,2,2017.0,0
Bill & Melinda Gates Foundation,120.08,120.08,1,1,2018.0,0
Qualcomm Venture,80.76583333333332,969.1899999999998,12,11,2015.9166666666667,1
ABB Technology Ventures,120.08,120.08,1,1,2018.0,0
Omnivore,34.2475,136.99,4,4,2016.25,4
Accion Venture Lab,15.6525,62.61,4,4,2017.25,0
Arihant Patni of Patni Family Office,17.15,17.15,1,1,2018.0,0
Shardul Amarchand Mangaldas,17.15,17.15,1,1,2018.0,0
Satish Khanna and Taparia family office.,17.15,17.15,1,1,2018.0,0
Subhkam Ventures and Mohit Khadaria,2.64,2.64,1,1,2018.0,0
Vishal Bali,0.0,0.0,2,2,2017.0,0
Yogesh Misra,0.0,0.0,1,1,2018.0,0
Thomas Assessments and others,0.0,0.0,1,1,2018.0,0
ChrysCapital,506.045,1012.09,2,2,2016.5,4
Existing investors,720.47,7204.7,10,10,2016.2,1
Elevar Equity,207.564,1037.82,5,5,2016.2,4
Maheshwar Peri,7.08,14.16,2,2,2017.5,0
founder and chairman of career information portal Careers360,1.29,1.29,1,1,2018.0,0
and Jamshed Jeejeebhoy,1.29,1.29,1,1,2018.0,0
director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels,1.29,1.29,1,1,2018.0,0
Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,24.02,24.02,1,1,2018.0,0
Investopad,0.0,0.0,2,2,2017.0,0
Lightspeed India,121.12666666666664,1090.14,9,8,2016.6666666666667,1
Amit Ranjan,1.5225,12.18,8,8,2015.875,4
Fundamentum,102.92,102.92,1,1,2018.0,0
RB investments & Others,102.92,102.92,1,1,2018.0,0
BlueOrchard Finance Ltd,39.45,39.45,1,1,2018.0,0
Hinduja Leyland Finance and IntelleGrow,39.45,39.45,1,1,2018.0,0
Mr. Manoj Prasad,4.29,4.29,1,1,2018.0,0
Madhusudhan Kannan,0.0,0.0,1,1,2018.0,0
Jayant Kadambi,0.0,0.0,1,1,2018.0,0
Puneet Gupta and Pradeep K Jaisingh,0.0,0.0,1,1,2018.0,0
Transamerica and others.,188.69,188.69,1,1,2018.0,0
Shilpa Shetty Kundra,0.0,0.0,1,1,2018.0,0
Line Ventures Corporation,197.27,197.27,1,1,2018.0,0
Line Corp,197.27,197.27,1,1,2018.0,0
Shinhan Bank and TS Investment,197.27,197.27,1,1,2018.0,0
Biz Stone,15.723333333333334,47.17,3,2,2016.0,4
Kunal Bahl,11.32,135.84,12,12,2015.4166666666667,1
Rohit Bansal,11.95909090909091,131.55,11,11,2015.4545454545453,1
Alagu Periyannan and Karthee Madasamy,0.0,0.0,1,1,2018.0,0
Vidal Healthcare,16.3,16.3,1,1,2018.0,0
GEMS Advisory,1.0533333333333337,3.16,3,2,2016.6666666666667,0
Alok Mittal and Sachin Bhatia,2.11,2.11,1,1,2018.0,0
OPPO,33.62,168.1,5,5,2016.8,0
GREE Ventures and Summit Media,47.17,47.17,1,1,2018.0,0
Nandan Nilekani,50.85416666666666,610.25,12,10,2016.3333333333333,1
Maverick Capital Ltd and HBM Healthcare Investments Ltd,85.77,85.77,1,1,2018.0,0
Baskar Subramanian,2.14,2.14,1,1,2018.0,0
Saket Kumar,2.14,2.14,1,1,2018.0,0
Gaurav Suri and Ankit Kesarwani,2.14,2.14,1,1,2018.0,0
Ranjan Pai,13.51,54.04,4,4,2017.0,0
Apoorva Patni,18.01,18.01,1,1,2018.0,0
HDFC Life,85.77,85.77,1,1,2018.0,0
HDFC Asset Management,85.77,85.77,1,1,2018.0,0
Avendus Finance Pvt. Ltd,83.2,83.2,1,1,2018.0,0
Aegon NV,65.19,65.19,1,1,2018.0,0
State Street Global Advisors,329.36,329.36,1,1,2018.0,0
Actis,703.31,703.31,1,1,2018.0,0
Sudhakar Pennam,0.0,0.0,1,1,2018.0,0
and other tech investors from Silicon Valley,0.0,0.0,1,1,2018.0,0
Bhavish Aggarwal,49.17333333333334,147.52,3,3,2016.6666666666667,0
Ankit Bhati,49.17333333333334,147.52,3,3,2016.6666666666667,0
Tiger Global and Apoletto Managers.,531.77,531.77,1,1,2018.0,0
1Crowd,3.495000000000001,27.960000000000004,8,7,2016.625,4
Amit Burman,25.73,25.73,1,1,2018.0,0
Jessica Wong,0.0,0.0,1,1,2018.0,0
Hiro Mashita,0.0,0.0,3,3,2016.3333333333333,4
Xue Manzi and Yiyun Zhang.,0.0,0.0,1,1,2018.0,0
Kumar Vembu,15.44,30.88,2,2,2017.5,0
Initia Holdings,8.58,8.58,1,1,2018.0,0
Vipin Agarwal and others.,8.58,8.58,1,1,2018.0,0
Unicorn India Ventures and ISME ACE.,17.15,17.15,1,1,2018.0,0
Ratan Tata,20.920689655172417,606.7,29,27,2015.7586206896551,1
Tracxn Labs,2.841875,45.47,16,14,2015.75,1
Patni family office and Axis Capital.,0.0,0.0,1,1,2018.0,0
Alibaba,2941.912,14709.56,5,5,2016.4,3
Girnar Software,17.15,17.15,1,1,2018.0,0
Bhavesh Manglani,0.0,0.0,1,1,2018.0,0
Suraj Saharan,0.0,0.0,2,2,2017.5,0
Darshan Upadhyay,0.0,0.0,1,1,2018.0,0
Sanjay Notani & Others,0.0,0.0,1,1,2018.0,0
Sandeep Mathur,430.565,861.13,2,2,2017.5,0
